iter	Passed	Remaining
0	1	125
1	2	104
2	2	94
3	4	99
4	5	109
5	6	106
6	7	101
7	8	99
8	9	95
9	10	92
10	11	90
11	11	87
12	12	84
13	13	83
14	14	81
15	15	79
16	16	78
17	17	78
18	18	77
19	19	78
20	21	80
21	22	79
22	23	79
23	24	77
24	25	76
25	26	74
26	26	72
27	27	70
28	28	69
29	29	67
30	29	66
31	30	64
32	31	63
33	31	62
34	32	60
35	33	60
36	34	59
37	35	58
38	36	57
39	37	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	40	48
46	41	47
47	42	45
48	43	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	47	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	66	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	82	0
