iter	Passed	Remaining
0	123	123115
1	125	62417
2	126	42034
3	127	31834
4	129	25816
5	131	21773
6	136	19384
7	139	17266
8	141	15544
9	142	14123
10	143	12942
11	145	11963
12	148	11284
13	152	10721
14	153	10087
15	154	9530
16	156	9042
17	157	8593
18	159	8238
19	162	7968
20	165	7732
21	167	7452
22	169	7180
23	170	6924
24	172	6713
25	174	6542
26	176	6356
27	177	6175
28	180	6038
29	181	5867
30	182	5710
31	184	5577
32	185	5442
33	187	5315
34	190	5249
35	192	5144
36	193	5042
37	195	4938
38	196	4837
39	197	4739
40	198	4643
41	201	4594
42	203	4531
43	205	4466
44	206	4388
45	207	4311
46	208	4236
47	210	4168
48	211	4112
49	214	4075
50	216	4032
51	218	3983
52	219	3926
53	221	3871
54	222	3823
55	223	3774
56	225	3726
57	226	3679
58	229	3659
59	231	3622
60	232	3581
61	233	3537
62	235	3498
63	236	3458
64	237	3418
65	238	3380
66	240	3346
67	243	3340
68	245	3311
69	247	3283
70	248	3252
71	249	3220
72	251	3188
73	252	3162
74	253	3131
75	255	3100
76	258	3096
77	259	3072
78	261	3045
79	262	3017
80	263	2994
81	265	2974
82	266	2941
83	267	2914
84	268	2889
85	270	2878
86	273	2866
87	275	2852
88	276	2831
89	277	2809
90	278	2786
91	280	2765
92	281	2744
93	286	2762
94	289	2757
95	290	2738
96	292	2719
97	293	2701
98	294	2683
99	296	2668
100	299	2664
101	307	2708
102	309	2695
103	312	2691
104	315	2688
105	316	2672
106	318	2655
107	319	2639
108	320	2621
109	321	2602
110	322	2585
111	324	2569
112	325	2553
113	326	2537
114	330	2539
115	331	2528
116	333	2514
117	334	2499
118	335	2486
119	337	2473
120	338	2462
121	339	2446
122	341	2434
123	342	2420
124	343	2406
125	345	2393
126	345	2377
127	347	2364
128	348	2353
129	349	2341
130	351	2329
131	355	2339
132	357	2329
133	359	2324
134	361	2314
135	362	2304
136	364	2294
137	366	2291
138	368	2282
139	369	2270
140	370	2258
141	371	2244
142	372	2231
143	373	2222
144	375	2212
145	376	2201
146	377	2191
147	379	2182
148	380	2173
149	381	2163
150	382	2151
151	383	2142
152	385	2132
153	386	2124
154	388	2116
155	390	2110
156	393	2115
157	396	2110
158	399	2111
159	403	2116
160	406	2116
161	408	2113
162	410	2109
163	412	2102
164	415	2104
165	419	2107
166	423	2110
167	441	2187
168	443	2182
169	446	2180
170	450	2185
171	454	2189
172	463	2216
173	469	2230
174	474	2236
175	479	2243
176	485	2258
177	488	2257
178	490	2249
179	491	2240
180	493	2233
181	499	2247
182	503	2246
183	505	2241
184	507	2237
185	511	2236
186	514	2234
187	518	2240
188	522	2242
189	524	2237
190	529	2240
191	532	2239
192	534	2233
193	535	2224
194	536	2215
195	537	2206
196	540	2201
197	543	2201
198	545	2196
199	547	2188
200	548	2180
201	555	2194
202	560	2201
203	566	2209
204	570	2213
205	573	2209
206	575	2203
207	576	2196
208	578	2188
209	580	2182
210	584	2186
211	588	2189
212	593	2194
213	603	2215
214	611	2233
215	614	2232
216	617	2226
217	618	2219
218	620	2212
219	631	2239
220	634	2238
221	637	2232
222	648	2258
223	658	2280
224	660	2276
225	662	2269
226	663	2260
227	670	2268
228	673	2267
229	686	2298
230	688	2291
231	689	2283
232	701	2308
233	708	2319
234	712	2318
235	715	2317
236	717	2309
237	718	2300
238	722	2300
239	728	2306
240	730	2299
241	731	2291
242	733	2283
243	734	2275
244	738	2274
245	742	2276
246	744	2269
247	746	2262
248	750	2262
249	757	2271
250	758	2264
251	760	2257
252	765	2259
253	768	2257
254	771	2252
255	776	2256
256	782	2261
257	801	2304
258	807	2309
259	810	2307
260	812	2300
261	813	2292
262	815	2283
263	816	2276
264	824	2287
265	826	2280
266	827	2273
267	829	2264
268	830	2256
269	831	2248
270	840	2261
271	843	2258
272	845	2251
273	849	2251
274	853	2249
275	856	2246
276	857	2239
277	859	2231
278	861	2225
279	866	2227
280	869	2225
281	872	2220
282	873	2213
283	881	2222
284	888	2228
285	897	2240
286	900	2237
287	902	2230
288	904	2224
289	916	2242
290	926	2257
291	931	2258
292	935	2258
293	939	2255
294	940	2248
295	942	2241
296	945	2238
297	947	2231
298	954	2238
299	957	2235
300	960	2230
301	962	2223
302	965	2221
303	967	2215
304	972	2215
305	973	2208
306	974	2200
307	977	2195
308	981	2193
309	983	2188
310	984	2181
311	992	2187
312	997	2188
313	999	2183
314	1000	2176
315	1004	2173
316	1007	2171
317	1009	2165
318	1011	2158
319	1012	2151
320	1013	2144
321	1018	2144
322	1021	2141
323	1023	2136
324	1025	2129
325	1026	2122
326	1029	2118
327	1035	2121
328	1037	2115
329	1039	2110
330	1040	2103
331	1045	2104
332	1049	2102
333	1051	2097
334	1052	2090
335	1054	2083
336	1057	2080
337	1060	2077
338	1063	2072
339	1064	2066
340	1065	2059
341	1066	2052
342	1068	2046
343	1070	2041
344	1075	2041
345	1077	2037
346	1079	2030
347	1080	2024
348	1081	2018
349	1082	2011
350	1083	2004
351	1088	2004
352	1091	1999
353	1092	1993
354	1093	1986
355	1094	1979
356	1095	1973
357	1097	1967
358	1099	1964
359	1103	1961
360	1105	1956
361	1106	1949
362	1107	1943
363	1108	1937
364	1110	1931
365	1111	1925
366	1114	1923
367	1117	1919
368	1119	1914
369	1120	1908
370	1122	1902
371	1123	1896
372	1124	1890
373	1126	1885
374	1128	1880
375	1130	1876
376	1132	1871
377	1134	1866
378	1135	1860
379	1138	1857
380	1140	1852
381	1146	1854
382	1148	1850
383	1150	1845
384	1152	1840
385	1154	1836
386	1159	1836
387	1162	1833
388	1164	1828
389	1165	1823
390	1167	1817
391	1168	1812
392	1174	1813
393	1176	1808
394	1177	1803
395	1178	1796
396	1179	1791
397	1180	1785
398	1182	1781
399	1188	1782
400	1189	1776
401	1190	1771
402	1191	1765
403	1193	1759
404	1194	1754
405	1195	1749
406	1197	1745
407	1201	1743
408	1203	1738
409	1204	1733
410	1205	1728
411	1207	1722
412	1208	1717
413	1209	1712
414	1213	1710
415	1216	1707
416	1217	1702
417	1218	1696
418	1220	1692
419	1221	1686
420	1222	1681
421	1224	1677
422	1226	1673
423	1228	1669
424	1230	1664
425	1231	1658
426	1232	1653
427	1234	1650
428	1236	1645
429	1237	1639
430	1239	1635
431	1241	1632
432	1243	1628
433	1245	1624
434	1246	1619
435	1247	1614
436	1249	1609
437	1250	1604
438	1251	1599
439	1254	1596
440	1256	1592
441	1258	1588
442	1259	1583
443	1260	1578
444	1262	1574
445	1263	1569
446	1264	1564
447	1265	1559
448	1268	1556
449	1271	1553
450	1272	1548
451	1273	1543
452	1274	1539
453	1276	1534
454	1277	1529
455	1278	1525
456	1279	1520
457	1281	1516
458	1283	1513
459	1285	1508
460	1286	1503
461	1287	1499
462	1288	1494
463	1289	1489
464	1290	1485
465	1292	1480
466	1293	1476
467	1294	1471
468	1296	1467
469	1298	1464
470	1299	1459
471	1300	1455
472	1301	1450
473	1302	1445
474	1304	1441
475	1305	1436
476	1306	1432
477	1307	1428
478	1308	1423
479	1311	1420
480	1313	1416
481	1314	1413
482	1316	1409
483	1317	1404
484	1318	1400
485	1319	1395
486	1320	1391
487	1321	1386
488	1323	1382
489	1326	1380
490	1328	1377
491	1330	1373
492	1332	1370
493	1335	1367
494	1339	1366
495	1340	1362
496	1342	1358
497	1343	1353
498	1344	1349
499	1345	1345
500	1346	1340
501	1349	1339
502	1352	1336
503	1353	1332
504	1354	1327
505	1355	1323
506	1356	1319
507	1357	1315
508	1358	1310
509	1360	1306
510	1361	1302
511	1362	1298
512	1365	1295
513	1366	1292
514	1367	1288
515	1368	1283
516	1370	1279
517	1371	1276
518	1372	1272
519	1374	1269
520	1376	1265
521	1380	1264
522	1382	1261
523	1384	1257
524	1386	1254
525	1388	1251
526	1390	1247
527	1393	1246
528	1395	1242
529	1396	1238
530	1398	1234
531	1399	1230
532	1400	1226
533	1402	1223
534	1403	1219
535	1404	1215
536	1405	1211
537	1407	1209
538	1409	1205
539	1411	1202
540	1412	1198
541	1414	1194
542	1415	1191
543	1416	1187
544	1417	1183
545	1418	1179
546	1420	1176
547	1423	1173
548	1424	1170
549	1426	1167
550	1427	1163
551	1428	1159
552	1429	1155
553	1431	1152
554	1432	1148
555	1434	1145
556	1437	1143
557	1439	1140
558	1440	1136
559	1441	1132
560	1442	1129
561	1444	1125
562	1445	1121
563	1446	1118
564	1447	1114
565	1449	1111
566	1452	1109
567	1453	1105
568	1454	1101
569	1455	1097
570	1456	1094
571	1457	1090
572	1458	1087
573	1459	1083
574	1461	1080
575	1462	1076
576	1464	1073
577	1466	1070
578	1467	1067
579	1468	1063
580	1469	1060
581	1471	1056
582	1472	1053
583	1473	1049
584	1475	1046
585	1476	1043
586	1479	1040
587	1481	1038
588	1482	1034
589	1483	1031
590	1485	1027
591	1486	1024
592	1488	1021
593	1489	1018
594	1490	1014
595	1492	1012
596	1494	1008
597	1496	1006
598	1498	1002
599	1499	999
600	1501	996
601	1505	995
602	1508	993
603	1511	990
604	1513	988
605	1515	985
606	1516	981
607	1517	978
608	1519	975
609	1522	973
610	1524	970
611	1525	967
612	1526	964
613	1528	960
614	1530	957
615	1531	954
616	1532	951
617	1533	948
618	1537	946
619	1540	943
620	1541	940
621	1542	937
622	1543	934
623	1545	931
624	1546	927
625	1549	925
626	1552	923
627	1554	920
628	1555	917
629	1557	914
630	1558	911
631	1566	912
632	1569	909
633	1570	906
634	1572	903
635	1573	900
636	1577	898
637	1580	896
638	1582	893
639	1583	890
640	1584	887
641	1586	884
642	1587	881
643	1588	878
644	1591	876
645	1594	874
646	1596	871
647	1598	868
648	1599	864
649	1600	861
650	1601	858
651	1604	856
652	1606	853
653	1608	850
654	1609	847
655	1611	844
656	1612	841
657	1613	838
658	1614	835
659	1615	832
660	1621	831
661	1624	829
662	1625	826
663	1627	823
664	1629	820
665	1630	817
666	1634	815
667	1635	813
668	1639	811
669	1641	808
670	1643	805
671	1645	802
672	1651	802
673	1656	801
674	1659	799
675	1662	796
676	1666	795
677	1669	792
678	1671	790
679	1672	787
680	1674	784
681	1678	782
682	1680	780
683	1683	777
684	1685	775
685	1687	772
686	1691	770
687	1694	768
688	1696	765
689	1698	762
690	1699	759
691	1700	756
692	1701	753
693	1705	751
694	1711	750
695	1713	748
696	1714	745
697	1716	742
698	1720	740
699	1723	738
700	1726	736
701	1728	733
702	1729	730
703	1732	728
704	1735	725
705	1736	723
706	1737	720
707	1739	717
708	1740	714
709	1743	712
710	1747	710
711	1750	708
712	1753	705
713	1754	702
714	1755	699
715	1757	696
716	1758	694
717	1761	692
718	1764	689
719	1765	686
720	1767	683
721	1768	681
722	1769	678
723	1771	675
724	1772	672
725	1774	669
726	1777	667
727	1778	664
728	1779	661
729	1780	658
730	1782	655
731	1783	652
732	1784	650
733	1785	647
734	1787	644
735	1789	641
736	1791	639
737	1793	636
738	1794	633
739	1795	630
740	1796	628
741	1798	625
742	1799	622
743	1801	619
744	1803	617
745	1804	614
746	1805	611
747	1806	608
748	1808	605
749	1809	603
750	1810	600
751	1811	597
752	1812	594
753	1814	591
754	1815	589
755	1817	586
756	1818	583
757	1820	581
758	1821	578
759	1822	575
760	1824	572
761	1825	570
762	1827	567
763	1828	564
764	1829	562
765	1832	559
766	1834	557
767	1836	554
768	1837	552
769	1838	549
770	1840	546
771	1841	543
772	1842	541
773	1843	538
774	1844	535
775	1847	533
776	1849	530
777	1850	528
778	1852	525
779	1853	522
780	1855	520
781	1856	517
782	1857	514
783	1859	512
784	1863	510
785	1864	507
786	1866	505
787	1867	502
788	1869	499
789	1870	497
790	1871	494
791	1873	491
792	1875	489
793	1876	486
794	1878	484
795	1879	481
796	1880	478
797	1881	476
798	1883	473
799	1883	470
800	1885	468
801	1886	465
802	1888	463
803	1890	460
804	1891	458
805	1892	455
806	1894	453
807	1895	450
808	1896	447
809	1897	445
810	1899	442
811	1900	439
812	1901	437
813	1904	435
814	1906	432
815	1907	430
816	1908	427
817	1910	424
818	1911	422
819	1912	419
820	1913	417
821	1915	414
822	1916	412
823	1918	409
824	1920	407
825	1921	404
826	1923	402
827	1924	399
828	1926	397
829	1928	394
830	1929	392
831	1931	390
832	1934	387
833	1936	385
834	1937	382
835	1939	380
836	1940	377
837	1941	375
838	1942	372
839	1943	370
840	1947	368
841	1950	366
842	1952	363
843	1953	361
844	1954	358
845	1956	356
846	1957	353
847	1958	351
848	1960	348
849	1961	346
850	1963	343
851	1964	341
852	1965	338
853	1967	336
854	1968	333
855	1969	331
856	1971	329
857	1973	326
858	1977	324
859	1979	322
860	1980	319
861	1981	317
862	1983	314
863	1985	312
864	2001	312
865	2003	309
866	2004	307
867	2008	305
868	2010	303
869	2015	301
870	2024	299
871	2039	299
872	2043	297
873	2048	295
874	2060	294
875	2063	292
876	2075	291
877	2077	288
878	2079	286
879	2087	284
880	2092	282
881	2094	280
882	2097	277
883	2101	275
884	2104	273
885	2106	271
886	2111	268
887	2114	266
888	2117	264
889	2120	262
890	2121	259
891	2132	258
892	2136	255
893	2138	253
894	2141	251
895	2147	249
896	2150	246
897	2157	245
898	2161	242
899	2163	240
900	2164	237
901	2168	235
902	2171	233
903	2173	230
904	2175	228
905	2176	225
906	2177	223
907	2179	220
908	2188	219
909	2191	216
910	2193	214
911	2196	211
912	2200	209
913	2202	207
914	2205	204
915	2206	202
916	2207	199
917	2212	197
918	2214	195
919	2220	193
920	2222	190
921	2225	188
922	2228	185
923	2230	183
924	2233	181
925	2234	178
926	2235	176
927	2236	173
928	2240	171
929	2243	168
930	2246	166
931	2248	164
932	2249	161
933	2251	159
934	2258	156
935	2260	154
936	2262	152
937	2264	149
938	2283	148
939	2290	146
940	2292	143
941	2293	141
942	2294	138
943	2298	136
944	2300	133
945	2302	131
946	2306	129
947	2307	126
948	2308	124
949	2310	121
950	2317	119
951	2320	116
952	2322	114
953	2323	112
954	2325	109
955	2328	107
956	2330	104
957	2332	102
958	2334	99
959	2335	97
960	2337	94
961	2338	92
962	2342	89
963	2344	87
964	2346	85
965	2347	82
966	2348	80
967	2349	77
968	2351	75
969	2352	72
970	2355	70
971	2357	67
972	2358	65
973	2359	62
974	2361	60
975	2362	58
976	2363	55
977	2365	53
978	2366	50
979	2369	48
980	2371	45
981	2372	43
982	2373	41
983	2374	38
984	2376	36
985	2377	33
986	2378	31
987	2380	28
988	2382	26
989	2384	24
990	2385	21
991	2386	19
992	2388	16
993	2389	14
994	2391	12
995	2392	9
996	2393	7
997	2394	4
998	2396	2
999	2397	0
